id,name,city,address_1,address_2,lat,lon
23523412,"Dollar Shave Club HQ","Marina del Rey","13335 Maxella Ave",,33.988132,-118.439049
23527253,"UCLA","Los Angeles","308 Westwood Plaza",,34.068527,-118.444878
23549575,"Maria's Italian Kitchen","Santa Monica","3001 Wilshire Blvd",,34.039219,-118.473488
23569082,"hulu","santa monica","2500 Broadway 2nd Floor",,34.030518,-118.473633
23570184,"Caltech (East Bridge Room 114)","Pasadena","1200 E. California Blvd",,34.13638,-118.125854
23577471,"Oakwood Recreation Center","Venice","767 California Ave",,33.994343,-118.463631
23600185,"Hilton Los Angeles Airport","Los Angeles","5711 W Century Blvd",,33.945683,-118.381599
23616616,"Cisco","Pasadena","117 East Colorado Boulevard., Suite 300",,0,0
23616622,"Cisco","Pasadena","117 East Colorado Boulevard., Suite 300",,34.145844,-118.14772
23624335,"TLT Food/The Lime Truck","Irvine","Irvine Spectrum suite 750",,33.687302,-117.825912
23627015,"LAX Hilton ","Los Angeles","5711 West Century Boulevard ",,33.946209,-118.381599
23650546,"KOSS REsource","90025","12304 Santa Monica Blvd. ",,34.039131,-118.465393
23661431,"Hurricane and Pacific @ the sand ","Marina del Rey ","1 Hurricane Street",,33.97493,-118.46321
23661431,"Hurricane and Pacific @ the sand ","Marina del Rey ","1 Hurricane Street",,33.97493,-118.463211
23662798,"Hulu","Santa Monica","2500 Broadway, Ste 200",,34.030518,-118.473633
23662865,"THH 202","Los Angeles","University of Southern California",,34.02301,-118.291313
23663356,"Symantec Corporation","Culver City","900 Corporate Pointe",,33.987846,-118.388908
23668582,"Cal State Fullerton","Fullerton","800 N State College Blvd",,33.877918,-117.889534
23669400,"CalState Fulerton","Fullerton","Center for Entrepreneurship Mihaylo Hall  2550 Nutwood Avenue Fullerton, CA ",,0,0
23675831,"ConSol Partners","Santa Monica","1409a 3rd Street Promenade",,34.015503,-118.495872
23687885,"Blank Spaces","Santa Monica","1450 2nd St",,34.013931,-118.495987
23691699,"Kluge","Los Angeles","4133 Redwood Ave. #4032",,33.989983,-118.440262
23693597,"UCLA, Engineering IV, room 38-138","Los Angeles","Strathmore Pl at Westwood Plaza",,34.068764,-118.443924
